YEAR,MONTH,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
32288,104,36.34,14.83,0.0
44404,136,13.91,7.83,0.0
38351,112,9.450000000000001,4.0,2.0
48444,152,32.61,26.0,3.0
48444,152,36.35,31.0,5.0
48444,152,116.53,141.84,35.0
4034,13,0.5,0.0,7.0
18155,66,2.25,1.0,37.0
12104,37,0.0,0.0,8.0
4035,12,0.0,0.0,3.0
4034,13,0.0,0.0,9.0
26238,88,0.0,0.0,28.0
32288,94,7.01,7.0,0.0
38346,122,6.63,5.0,0.0
8070,26,1.1199999999999999,1.0,0.0
48444,152,129.79,129.92,554.58
2017,11,0.0,0.0,1.0
42384,133,15.34,20.759999999999998,10.0
48444,152,0.0,0.0,114.0
16138,54,0.0,0.0,39.0
46427,140,0.0,0.0,112.0
48444,152,0.0,0.0,133.0
44404,136,15.5,18.0,347.0
18167,62,0.0,0.0,15.0
20184,53,0.0,0.0,14.0
2019,9,0.0,0.0,2.0
22193,77,21.8,4.0,45.0
48444,152,45.27,37.0,0.0
40365,129,19.85,3.0,0.0
44406,137,23.03,7.15,0.0
48444,152,41.53,26.0,0.0
14121,51,1.7,2.0,1.0
48444,152,198.68,202.16,2.0
18161,49,6.28,7.0,0.0
20174,67,7.63,8.0,0.0
46424,145,23.96,24.0,0.0
20174,68,11.200000000000001,6.83,0.0
26233,85,8.47,4.0,0.0
26234,89,8.48,5.0,0.0
28255,83,2.57,1.0,0.0
6054,19,0.0,0.0,3.0
2017,7,0.17,0.0,0.0
48444,152,21.3,16.83,0.0
16137,64,12.07,0.0,0.0
12102,51,14.09,-0.5,0.0
46424,143,108.17,102.92,9.0
14120,56,5.53,1.0,0.0
18155,66,14.48,16.0,13.0
12102,51,7.1,0.0,0.0
48444,152,1606.0,1479.76,0.0
2019,2,0.0,0.0,2.0
44404,136,23.560000000000002,9.0,0.0
14120,57,2.88,0.0,0.0
2018,2,0.0,0.0,1.0
4036,18,0.0,0.0,2.0
2017,8,0.0,0.0,6.0
2017,12,0.0,0.0,1.0
14125,59,0.0,0.0,9.0
48444,152,41.72,33.0,0.0
22196,86,0.0,0.0,25.0
22206,71,0.0,0.0,28.0
2017,11,0.0,0.0,1.0
2017,7,0.0,0.0,1.0
44408,133,5.74,3.33,1.0
2018,2,0.0,0.0,1.0
48444,152,111.35000000000001,104.84,0.0
20185,79,0.0,0.0,15.0
12106,38,0.0,0.0,31.0
6056,8,0.0,0.0,5.0
6057,24,0.0,0.0,3.0
46424,143,260.40000000000003,262.59000000000003,31.0
22193,77,47.92,39.0,0.0
44404,136,16.9,10.0,4.0
32288,94,216.68,225.98000000000002,0.0
22197,85,3.0900000000000003,1.0,0.0
22197,62,4.9,0.0,0.0
48444,152,26.14,23.83,0.0
48444,152,42.82,39.0,0.0
46424,145,10.38,-0.08,0.0
40365,124,12.4,0.42,0.0
42385,125,14.87,3.92,0.0
48444,152,24.53,24.0,4.0
44404,136,37.3,39.0,69.0
36326,116,23.77,10.0,42.0
18157,58,7.53,0.92,0.0
22195,81,4.8,3.5,0.0
48444,152,360.40999999999997,398.75,0.0
48444,152,131.06,133.0,31.0
34307,102,76.08,67.33,0.0
4034,13,0.16,0.0,0.0
18155,66,10.0,14.0,16.0
24227,75,0.0,0.0,27.0
18155,66,4.21,0.0,0.0
2017,6,0.0,0.0,1.0
48444,152,55.89,59.0,4.0
4034,16,0.0,0.0,2.0
8068,36,0.0,0.0,6.0
2017,7,0.0,0.0,6.0
26231,76,47.03,54.510000000000005,0.0
2017,9,0.0,0.0,2.0
48444,152,17.34,21.0,294.0
8071,17,0.0,0.0,7.0
48444,152,0.0,0.0,211.0
2019,7,0.0,0.0,1.0
30289,86,85.21,96.0,0.0
2019,10,0.0,0.0,1.0
4036,17,0.0,0.0,9.0
2017,8,0.0,0.0,1.0
6051,21,0.97,0.0,0.0
48444,152,26.52,36.0,1.0
22204,62,2.7600000000000002,2.0,1.0
2017,10,0.0,0.0,1.0
2017,9,0.0,0.0,1.0
46424,143,13.85,13.0,30.0
6053,16,0.0,0.0,3.0
6051,21,0.0,0.0,5.0
14119,63,0.0,0.0,36.0
4035,9,0.0,0.0,3.0
16149,43,0.0,0.0,9.0
48444,152,637.89,646.8199999999999,1.0
2017,8,0.0,0.0,1.0
30273,97,0.0,0.0,21.0
48444,152,16.619999999999997,15.0,100.0
2017,10,0.0,0.0,2.0
18155,66,8.0,9.0,49.0
10085,42,0.0,0.0,5.0
24225,70,0.0,0.0,16.0
4034,14,0.0,0.0,2.0
4034,16,0.0,0.0,2.0
32288,94,60.95,62.0,215.0
48444,152,256.36,262.0,809.25
24219,76,0.0,0.0,19.0
10088,29,0.0,0.0,6.0
4034,21,0.0,0.0,6.0
